"category","region","sex_group","row_id","relation","quintile","percentage","area_type","province"
"Not Economically Active","PAKISTAN","Both Sexes",14,"Other","total",0.853180033335144,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Both Sexes",14,"Other","q1",0.269528253872677,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Both Sexes",14,"Other","q2",0.299871891987185,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Both Sexes",14,"Other","q3",0.749571033650579,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Both Sexes",14,"Other","q4",0.780608134182475,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Both Sexes",14,"Other","q5",2.03994144633797,"Overall","Pakistan"
"Employer","PAKISTAN","Male",4,"Head","total",0.970102320871966,"Overall","Pakistan"
"Employer","PAKISTAN","Male",4,"Head","q1",0.334261461787684,"Overall","Pakistan"
"Employer","PAKISTAN","Male",4,"Head","q2",0.485181522163153,"Overall","Pakistan"
"Employer","PAKISTAN","Male",4,"Head","q3",0.507110283299475,"Overall","Pakistan"
"Employer","PAKISTAN","Male",4,"Head","q4",1.02308404470233,"Overall","Pakistan"
"Employer","PAKISTAN","Male",4,"Head","q5",2.23677458552154,"Overall","Pakistan"
"Self Employed","PAKISTAN","Male",5,"Head","total",19.0368788874298,"Overall","Pakistan"
"Self Employed","PAKISTAN","Male",5,"Head","q1",13.4329313080335,"Overall","Pakistan"
"Self Employed","PAKISTAN","Male",5,"Head","q2",17.622340860854,"Overall","Pakistan"
"Self Employed","PAKISTAN","Male",5,"Head","q3",19.0885270995784,"Overall","Pakistan"
"Self Employed","PAKISTAN","Male",5,"Head","q4",20.9250063213289,"Overall","Pakistan"
"Self Employed","PAKISTAN","Male",5,"Head","q5",22.7180336678317,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Male",6,"Head","total",0.137466166176385,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Male",6,"Head","q1",0.0850865704390566,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Male",6,"Head","q2",0.20812221622724,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Male",6,"Head","q3",0.149609427859003,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Male",6,"Head","q4",0.12183373851296,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Male",6,"Head","q5",0.122894978991797,"Overall","Pakistan"
"Employee","PAKISTAN","Male",7,"Head","total",33.6516695244267,"Overall","Pakistan"
"Employee","PAKISTAN","Male",7,"Head","q1",39.5337917903771,"Overall","Pakistan"
"Employee","PAKISTAN","Male",7,"Head","q2",35.9987946777795,"Overall","Pakistan"
"Employee","PAKISTAN","Male",7,"Head","q3",32.9875687476782,"Overall","Pakistan"
"Employee","PAKISTAN","Male",7,"Head","q4",30.7790609929227,"Overall","Pakistan"
"Employee","PAKISTAN","Male",7,"Head","q5",30.4668180430618,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Male",8,"Other","total",3.11638982340473,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Male",8,"Other","q1",0.535383429935316,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Male",8,"Other","q2",1.2853649049348,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Male",8,"Other","q3",2.05597899020962,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Male",8,"Other","q4",3.39350009350299,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Male",8,"Other","q5",7.34195314938606,"Overall","Pakistan"
"Employer","PAKISTAN","Male",10,"Other","total",0.281114048087273,"Overall","Pakistan"
"Employer","PAKISTAN","Male",10,"Other","q1",0.13979949559567,"Overall","Pakistan"
"Employer","PAKISTAN","Male",10,"Other","q2",0.104210930639474,"Overall","Pakistan"
"Employer","PAKISTAN","Male",10,"Other","q3",0.191549713373573,"Overall","Pakistan"
"Employer","PAKISTAN","Male",10,"Other","q4",0.288945641838769,"Overall","Pakistan"
"Employer","PAKISTAN","Male",10,"Other","q5",0.611989641965701,"Overall","Pakistan"
"Self Employed","PAKISTAN","Male",11,"Other","total",6.00920176040283,"Overall","Pakistan"
"Self Employed","PAKISTAN","Male",11,"Other","q1",5.18699115945286,"Overall","Pakistan"
"Self Employed","PAKISTAN","Male",11,"Other","q2",5.43675045428999,"Overall","Pakistan"
"Self Employed","PAKISTAN","Male",11,"Other","q3",6.55689734972906,"Overall","Pakistan"
"Self Employed","PAKISTAN","Male",11,"Other","q4",6.59861141473976,"Overall","Pakistan"
"Self Employed","PAKISTAN","Male",11,"Other","q5",6.06750291001243,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Male",12,"Other","total",9.03842099097839,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Male",12,"Other","q1",8.57199769886842,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Male",12,"Other","q2",8.65823440520738,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Male",12,"Other","q3",8.96043943352172,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Male",12,"Other","q4",10.1339627884436,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Male",12,"Other","q5",8.74744968495901,"Overall","Pakistan"
"Employee","PAKISTAN","Male",13,"Other","total",27.2900224570251,"Overall","Pakistan"
"Employee","PAKISTAN","Male",13,"Other","q1",31.971561388013,"Overall","Pakistan"
"Employee","PAKISTAN","Male",13,"Other","q2",30.0498759188569,"Overall","Pakistan"
"Employee","PAKISTAN","Male",13,"Other","q3",29.0087233380537,"Overall","Pakistan"
"Employee","PAKISTAN","Male",13,"Other","q4",26.3353642797504,"Overall","Pakistan"
"Employee","PAKISTAN","Male",13,"Other","q5",20.7088551127203,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Male",14,"Other","total",0.468734021196809,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Male",14,"Other","q1",0.208205788409518,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Male",14,"Other","q2",0.15111474513971,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Male",14,"Other","q3",0.493586997649586,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Male",14,"Other","q4",0.400622453360445,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Male",14,"Other","q5",0.977736040810667,"Overall","Pakistan"
"Employer","PAKISTAN","Female",4,"Head","total",NA,"Overall","Pakistan"
"Employer","PAKISTAN","Female",4,"Head","q1",NA,"Overall","Pakistan"
"Employer","PAKISTAN","Female",4,"Head","q2",NA,"Overall","Pakistan"
"Employer","PAKISTAN","Female",4,"Head","q3",NA,"Overall","Pakistan"
"Employer","PAKISTAN","Female",4,"Head","q4",NA,"Overall","Pakistan"
"Employer","PAKISTAN","Female",4,"Head","q5",NA,"Overall","Pakistan"
"Self Employed","PAKISTAN","Female",5,"Head","total",1.61930669488106,"Overall","Pakistan"
"Self Employed","PAKISTAN","Female",5,"Head","q1",0.841468141994608,"Overall","Pakistan"
"Self Employed","PAKISTAN","Female",5,"Head","q2",1.18247838356328,"Overall","Pakistan"
"Self Employed","PAKISTAN","Female",5,"Head","q3",1.39323279740362,"Overall","Pakistan"
"Self Employed","PAKISTAN","Female",5,"Head","q4",2.10240205213422,"Overall","Pakistan"
"Self Employed","PAKISTAN","Female",5,"Head","q5",3.10562760097391,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Female",6,"Head","total",0.712689540543617,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Female",6,"Head","q1",0.385020613581219,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Female",6,"Head","q2",0.55283865481951,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Female",6,"Head","q3",1.06358284296675,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Female",6,"Head","q4",1.14262487764288,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Female",6,"Head","q5",0.569223216906731,"Overall","Pakistan"
"Employee","PAKISTAN","Female",7,"Head","total",3.70162390747184,"Overall","Pakistan"
"Employee","PAKISTAN","Female",7,"Head","q1",3.33765520927782,"Overall","Pakistan"
"Employee","PAKISTAN","Female",7,"Head","q2",2.70359141828672,"Overall","Pakistan"
"Employee","PAKISTAN","Female",7,"Head","q3",3.63775587936838,"Overall","Pakistan"
"Employee","PAKISTAN","Female",7,"Head","q4",4.23896829049832,"Overall","Pakistan"
"Employee","PAKISTAN","Female",7,"Head","q5",5.04633135739489,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Female",8,"Other","total",1.16590082031436,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Female",8,"Other","q1",0.183578491194086,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Female",8,"Other","q2",0.193906576979362,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Female",8,"Other","q3",0.659767038741595,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Female",8,"Other","q4",1.77136005668483,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Female",8,"Other","q5",3.83564763993353,"Overall","Pakistan"
"Employer","PAKISTAN","Female",10,"Other","total",0.183634939050825,"Overall","Pakistan"
"Employer","PAKISTAN","Female",10,"Other","q1",0.0301224445620014,"Overall","Pakistan"
"Employer","PAKISTAN","Female",10,"Other","q2",0.0078091848275929,"Overall","Pakistan"
"Employer","PAKISTAN","Female",10,"Other","q3",0.0627032014925159,"Overall","Pakistan"
"Employer","PAKISTAN","Female",10,"Other","q4",0.523021891578854,"Overall","Pakistan"
"Employer","PAKISTAN","Female",10,"Other","q5",0.432313624107929,"Overall","Pakistan"
"Self Employed","PAKISTAN","Female",11,"Other","total",7.03121731415537,"Overall","Pakistan"
"Self Employed","PAKISTAN","Female",11,"Other","q1",4.65691336332141,"Overall","Pakistan"
"Self Employed","PAKISTAN","Female",11,"Other","q2",6.25251095948098,"Overall","Pakistan"
"Self Employed","PAKISTAN","Female",11,"Other","q3",8.32669769367205,"Overall","Pakistan"
"Self Employed","PAKISTAN","Female",11,"Other","q4",8.8397997277465,"Overall","Pakistan"
"Self Employed","PAKISTAN","Female",11,"Other","q5",8.25281158033139,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Female",12,"Other","total",30.1317114876397,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Female",12,"Other","q1",30.7520064143413,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Female",12,"Other","q2",35.561317428842,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Female",12,"Other","q3",33.1584950081784,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Female",12,"Other","q4",31.2738063836475,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Female",12,"Other","q5",17.6752751142763,"Overall","Pakistan"
"Employee","PAKISTAN","Female",13,"Other","total",53.0741529879267,"Overall","Pakistan"
"Employee","PAKISTAN","Female",13,"Other","q1",59.3758662618681,"Overall","Pakistan"
"Employee","PAKISTAN","Female",13,"Other","q2",52.7330694775429,"Overall","Pakistan"
"Employee","PAKISTAN","Female",13,"Other","q3",49.8809537498311,"Overall","Pakistan"
"Employee","PAKISTAN","Female",13,"Other","q4",47.4452893987878,"Overall","Pakistan"
"Employee","PAKISTAN","Female",13,"Other","q5",53.4549320755741,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Female",14,"Other","total",2.3797623080166,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Female",14,"Other","q1",0.437313839979414,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Female",14,"Other","q2",0.812510185016368,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Female",14,"Other","q3",1.81677585527886,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Female",14,"Other","q4",2.66272732127911,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Female",14,"Other","q5",7.62792001848485,"Overall","Pakistan"
"Employer","PAKISTAN URBAN","Both Sexes",4,"Head","total",1.22651279159872,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Both Sexes",4,"Head","q1",0.190329605236006,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Both Sexes",4,"Head","q2",0.373787640398776,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Both Sexes",4,"Head","q3",0.407556912221436,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Both Sexes",4,"Head","q4",1.25181969014076,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Both Sexes",4,"Head","q5",2.36714684655231,"Urban","Pakistan"
"Self Employed","PAKISTAN URBAN","Both Sexes",5,"Head","total",12.0682516379888,"Urban","Pakistan"
"Self Employed","PAKISTAN URBAN","Both Sexes",5,"Head","q1",7.36459043933608,"Urban","Pakistan"
"Self Employed","PAKISTAN URBAN","Both Sexes",5,"Head","q2",9.21965215038836,"Urban","Pakistan"
"Self Employed","PAKISTAN URBAN","Both Sexes",5,"Head","q3",11.191183296283,"Urban","Pakistan"
"Self Employed","PAKISTAN URBAN","Both Sexes",5,"Head","q4",12.6848085555062,"Urban","Pakistan"
"Self Employed","PAKISTAN URBAN","Both Sexes",5,"Head","q5",14.7250032704297,"Urban","Pakistan"
"Contributing Family Worker","PAKISTAN URBAN","Both Sexes",6,"Head","total",0.0831182902396342,"Urban","Pakistan"
"Contributing Family Worker","PAKISTAN URBAN","Both Sexes",6,"Head","q1",0,"Urban","Pakistan"
"Contributing Family Worker","PAKISTAN URBAN","Both Sexes",6,"Head","q2",0.0933579186927043,"Urban","Pakistan"
"Contributing Family Worker","PAKISTAN URBAN","Both Sexes",6,"Head","q3",0.109341849495435,"Urban","Pakistan"
"Contributing Family Worker","PAKISTAN URBAN","Both Sexes",6,"Head","q4",0.114187022451938,"Urban","Pakistan"
